parlamento.pt,nome,partido,distrito,wikipedia,facebook,twitter,instagram
,Maria Emília Apolinário Sota Felicíssimo,PPD/PSD,Lisboa,,m.emilia.apolinario,,
,Maria Emília e Sousa Cerqueira,PPD/PSD,Viana do Castelo,Emília_Cerqueira,emilia.cerqueira.3,,emiliacerqueira
,Maria Ester Vargas de Almeida e Silva,PPD/PSD,Europa,,id=100008363859327,,
6909,Maria Fernanda Pardaleiro Velez,PPD/PSD,Setúbal,Fernanda_Velez,DeputadaAss.Rep.FernandaVelez,,
7011,Maria Gabriela da Cunha Baptista Rodrigues da Fonseca,PPD/PSD,Braga,Maria_Gabriela_Fonseca,gabriela.fonseca.5891,gabriel77996588,
5984,Maria Germana de Sousa Rocha,PPD/PSD,Porto,,mariagermana.rocha.3,,rochamariagermana
,Maria Inês Leiria Barroso,PPD/PSD,Santarém,,,,
3918,Maria Paula da Graça Cardoso,PPD/PSD,Aveiro,,,,
1597,Maria de Fátima Simões Ramos do Vale Ferreira,PPD/PSD,Coimbra,,,,
6595,Márcia Isabel Duarte Passos Resende,PPD/PSD,Porto,Márcia_Passos,Márcia-Passos-Deputada-à-Assembleia-da-República-105337057587976,mrciapassos7,
6531,Mónica Cláudia de Castro Quintela,PPD/PSD,Coimbra,Mónica_Quintela,monicaquintelaoficial,monicaquintela3,
,Nuno Miguel Oliveira Carvalho,PPD/PSD,Setúbal,Nuno_Carvalho,nunocarvalhosetubal,nunocarvalhose1,nunocarvalhosetubal
6885,Ofélia Isabel Andrés da Conceição Ramos,PPD/PSD,Faro,Ofélia_Ramos,ofelia.ramos.56,,
4055,Olga Cristina Fino Silvestre,PPD/PSD,Leiria,Olga_Silvestre,olga.silvestre.35,,
3989,Paulo Cardoso Correia da Mota Pinto,PPD/PSD,Leiria,Paulo_Mota_Pinto,,paulomotapinto,
4392,Paulo César Rios de Oliveira,PPD/PSD,Porto,Paulo_Rios_de_Oliveira,paulo.riosdeoliveira,paulorios65,
,Paulo Fernando de Sousa Ramalho,PPD/PSD,Porto,,PauloRamalho2015,,
2071,Paulo Miguel da Silva Santos,PPD/PSD,Porto,,Miguel-Santos-2022441941411684,,
,Ricardo Augusto Guerreiro Batista Leite,PPD/PSD,Lisboa,Ricardo_Baptista_Leite,ricardo.baptistaleite,RBaptistaLeite,ricardo_baptista_leite
,Ricardo Bastos Sousa,PPD/PSD,Aveiro,,,ricardobastoss1,
5693,Rui Celestino dos Santos Cristina,PPD/PSD,Faro,Rui_Cristina,rui.cristina,ruicristina,rui__cristina
132,Rui Fernando da Silva Rio,PPD/PSD,Porto,Rui_Rio,apoioruirio,RuiRioPSD,ruiriopsd
,Rui Filipe Vilar Gomes,PPD/PSD,Aveiro,,ruivilargomes,ruivilargomes,ruivilargomes
5492,Rui Miguel Rocha da Cruz,PPD/PSD,Aveiro,,,,
,Rui Pedro Guimarães de Melo Carvalho Lopes,PPD/PSD,Porto,,,,
7128,Sofia Helena Correia Fernandes Sousa Matos,PPD/PSD,Porto,Sofia_Matos,sofiamatosporto,sofiahmatos,sofiasousamatos
,Sónia Cristina Silva dos Ramos,PPD/PSD,Évora,,SoniaRamos.pt,,
,Tiago da Mota Veiga Moreira de Sá,PPD/PSD,Lisboa,Tiago_Moreira_de_Sá,tiago.m.desa,tmoreiradesa,
,Cláudia Patricia Homem de Gouveia Dantas,PPD/PSD.CDS-PP,Madeira,,patriciahgdantas,,
6866,Mário Sérgio Quaresma Gonçalves Marques,PPD/PSD.CDS-PP,Madeira,Sérgio_Marques,sergiomarques.madeira,,
,Sara Martins Marques Santos Madruga da Costa,PPD/PSD.CDS-PP,Madeira,Sara_Madruga_da_Costa,sara.m.dacosta,,
,Francisco José Duarte Pimentel,PPD/PSD.CDS-PP.PPM,Açores,,,,
