nome,partido,distrito
Luís Miguel de Freitas Marques Carvalho Soares,PS,Braga
Lúcia Fernanda Ferreira Araújo da Silva,PS,Viseu
Manuel António dos Santos Afonso,PS,Santarém
Mara Lúcia Lagriminha Coelho,PS,Santarém
Marcos da Cunha e Lorena Perestrello de Vasconcelos,PS,Lisboa
Maria Antónia Moreno Areias de Almeida Santos,PS,Setúbal
Maria Elisabete da Silva Duarte Matos,PS,Braga
Maria Isabel Solnado Porto Oneto,PS,Porto
Maria da Luz Gameiro Beja Ferreira Rosinha,PS,Lisboa
Maria de Fátima de Jesus Fonseca,PS,Lisboa
Maria do Céu de Oliveira Antunes,PS,Santarém
Maria do Rosário Gamboa Lopes de Carvalho,PS,Porto
Mariana Guimarães Vieira da Silva,PS,Lisboa
Marina Sola Gonçalves,PS,Viana do Castelo
Marta Alexandra Fartura Braga Temido de Almeida Simões,PS,Coimbra
Marta Luísa de Freitas,PS,Madeira
Miguel Filipe Pardal Cabrita,PS,Lisboa
Miguel de Oliveira Pires da Costa Matos,PS,Lisboa
Miguel dos Santos Rodrigues,PS,Porto
Nelson Domingos Brito,PS,Beja
Norberto António Lopes Patinho,PS,Évora
Nuno Jorge Cardona Fazenda de Almeida,PS,Castelo Branco
Palmira Maciel Fernandes da Costa,PS,Braga
Patrícia Monte Pinto Ribeiro Faro,PS,Porto
Paulo Alexandre Carvalho Pisco,PS,Europa
Pedro Artur Barreirinhas Sales Guedes Coimbra,PS,Coimbra
Pedro Filipe Mota Delgado Simões Alves,PS,Lisboa
Pedro Miguel de Sousa Barrocas Martinho Cegonho,PS,Lisboa
Pedro Nuno Raposo Prazeres do Carmo,PS,Beja
Pedro Nuno de Oliveira Santos,PS,Aveiro
Pompeu Miguel Noval da Rocha Martins,PS,Braga
Porfirio Simões de Carvalho e Silva,PS,Aveiro
Raquel de Fátima Cardoso Ferreira,PS,Coimbra
Ricardo Manuel Garrido Lino,PS,Coimbra
Ricardo Miguel Furtado Pinheiro,PS,Portalegre
Rita Mafalda Nobre Borges Madeira,PS,Lisboa
Romualda Maria da Conceição Martins Nunes Fernandes,PS,Lisboa
Rui Carlos Morais Lage,PS,Porto
Salvador Portugal Formiga,PS,Leiria
Sara Maria Belo Velez,PS,Leiria
Susana Alexandra Lopes Correia,PS,Aveiro
Susana de Fátima Carvalho Amador,PS,Lisboa
Sérgio Alexandrino Monteiro do Monte,PS,Lisboa
Sérgio Humberto Rocha de Ávila,PS,Açores
Sérgio Paulo Mendes de Sousa Pinto,PS,Lisboa
Tiago Barbosa Ribeiro,PS,Porto
Tiago Brandão Rodrigues,PS,Viana do Castelo
Tiago Estevão Martins,PS,Coimbra
